Match_ID,Season,Match_Date,Opponent,Venue,Home_Away,Innings,Batting_Position,Runs,Balls,Fours,Sixes,Strike_Rate,Dismissal,Catches,Wickets,Result,Player_of_the_Match,Boundary_Runs,Running_Runs,Performance
100016,2025,2008-08-16,CSK,Kolkata,Home,1,1,57,53,7,7,107.54716981132076,Run Out,3,1,Win,No,70,0,Half Century
100017,2016,2025-11-18,GT,Delhi,Away,1,5,21,72,1,2,29.166666666666668,Stumped,0,1,Loss,Yes,16,5,Low
100018,2009,2021-05-25,GT,Lucknow,Home,1,1,13,8,0,0,162.5,Run Out,4,0,Win,Yes,0,13,Low
100019,2009,2022-03-09,CSK,Hyderabad,Away,2,6,44,34,3,4,129.41176470588235,Run Out,1,3,Loss,Yes,36,8,Good
100020,2008,2018-07-29,CSK,Mumbai,Home,2,2,68,65,8,2,104.61538461538463,LBW,0,2,Win,No,44,24,Half Century
100021,2025,2024-01-28,PBKS,Dharamsala,Home,1,6,25,71,1,2,35.2112676056338,LBW,0,0,Loss,Yes,16,9,Low
100022,2018,2012-11-10,PBKS,Lucknow,Away,2,7,65,33,1,1,196.96969696969697,Caught,3,5,Win,No,10,55,Half Century
100023,2012,2022-08-02,PBKS,Chennai,Away,1,5,27,71,0,0,38.028169014084504,Hit Wicket,1,5,Loss,Yes,0,27,Low
100024,2021,2011-02-26,MI,Delhi,Away,1,6,7,6,1,0,116.66666666666667,LBW,1,5,Loss,Yes,4,3,Low
100025,2015,2011-12-10,KKR,Hyderabad,Home,1,3,33,23,6,5,143.47826086956522,Hit Wicket,1,5,Win,No,54,0,Good
100026,2009,2018-11-07,DC,Kolkata,Away,1,6,15,45,2,0,33.33333333333333,Run Out,0,1,Loss,No,8,7,Low
100027,2010,2025-08-22,PBKS,Jaipur,Away,1,1,32,69,4,1,46.3768115942029,Not Out,2,4,Loss,No,22,10,Good
100028,2018,2018-01-30,LSG,Mumbai,Away,1,1,39,74,3,2,52.702702702702695,LBW,3,0,Loss,Yes,24,15,Good
100029,2018,2022-04-09,RR,Mumbai,Away,2,2,26,65,3,2,40.0,Stumped,1,4,Loss,Yes,24,2,Low
100030,2017,2017-05-27,LSG,Bengaluru,Away,2,6,55,37,3,6,148.64864864864865,Run Out,4,4,Loss,No,48,7,Half Century
100031,2014,2019-10-05,GT,Chennai,Home,1,2,3,37,0,0,8.108108108108109,Bowled,2,1,Win,Yes,0,3,Low
100032,2015,2018-12-14,CSK,Ahmedabad,Away,2,4,31,74,3,5,41.891891891891895,Bowled,3,5,Win,Yes,42,0,Good
100033,2011,2025-10-02,SRH,Kolkata,Home,2,6,7,67,0,1,10.44776119402985,Hit Wicket,3,1,Loss,No,6,1,Low
100034,2025,2018-04-18,KKR,Ahmedabad,Away,2,7,41,34,3,6,120.58823529411764,Stumped,2,5,Win,No,48,0,Good
100035,2022,2010-01-12,PBKS,Kolkata,Away,1,6,23,43,1,1,53.48837209302325,Stumped,3,1,Win,Yes,10,13,Low
100036,2021,2017-06-09,RR,Lucknow,Away,1,7,59,54,0,3,109.25925925925925,Hit Wicket,3,3,Loss,No,18,41,Half Century
100037,2008,2016-03-08,PBKS,Hyderabad,Away,2,4,34,69,3,3,49.275362318840585,Caught,2,1,Loss,No,30,4,Good
100038,2020,2024-07-15,KKR,Ahmedabad,Home,1,6,7,80,0,1,8.75,Caught,4,4,Loss,Yes,6,1,Low
100039,2022,2012-05-15,MI,Delhi,Away,1,7,39,42,6,2,92.85714285714286,Run Out,2,3,Win,Yes,36,3,Good
100040,2019,2013-04-28,CSK,Bengaluru,Home,1,2,54,32,3,0,168.75,Run Out,1,4,Win,Yes,12,42,Half Century
100041,2022,2023-12-26,PBKS,Jaipur,Home,1,5,6,78,0,0,7.6923076923076925,LBW,0,2,Loss,No,0,6,Low
100042,2014,2009-12-31,DC,Mumbai,Away,2,5,12,77,0,2,15.584415584415584,Stumped,2,0,Loss,Yes,12,0,Low
100043,2024,2022-10-26,RR,Bengaluru,Away,2,6,79,63,14,2,125.39682539682539,Not Out,1,3,Loss,No,68,11,Half Century
100044,2021,2024-09-09,PBKS,Jaipur,Home,2,5,69,12,8,7,575.0,LBW,3,1,Win,No,74,0,Half Century
100045,2018,2012-05-16,GT,Kolkata,Away,1,5,10,34,2,1,29.411764705882355,Caught,0,4,Win,No,14,0,Low
100046,2023,2020-09-30,DC,Ahmedabad,Away,1,4,73,58,0,1,125.86206896551724,LBW,1,2,Loss,No,6,67,Half Century
100047,2025,2020-03-15,RR,Hyderabad,Away,1,3,29,46,4,1,63.04347826086957,Stumped,1,0,Win,Yes,22,7,Low
100048,2014,2024-11-10,GT,Delhi,Away,2,2,18,13,1,2,138.46153846153845,Caught,2,1,Win,No,16,2,Low
100049,2009,2009-07-08,LSG,Delhi,Home,1,3,37,63,4,3,58.730158730158735,Caught,3,3,Loss,No,34,3,Good
100050,2011,2009-10-05,SRH,Ahmedabad,Home,1,3,37,74,0,1,50.0,Bowled,4,1,Win,No,6,31,Good
100051,2015,2025-09-10,LSG,Hyderabad,Away,1,1,26,57,3,2,45.614035087719294,Hit Wicket,4,4,Win,Yes,24,2,Low
100052,2016,2023-02-09,CSK,Chennai,Home,2,4,63,23,2,2,273.9130434782609,LBW,3,0,Win,Yes,20,43,Half Century
100053,2017,2024-02-25,PBKS,Ahmedabad,Home,1,2,69,30,6,6,229.99999999999997,LBW,4,0,Win,Yes,60,9,Half Century
100054,2009,2012-01-07,PBKS,Dharamsala,Away,2,6,17,57,0,1,29.82456140350877,LBW,2,5,Loss,No,6,11,Low
100055,2010,2021-09-16,MI,Hyderabad,Away,1,1,34,78,0,5,43.58974358974359,Run Out,4,2,Loss,No,30,4,Good
100056,2013,2021-06-04,SRH,Ahmedabad,Home,1,6,44,61,5,6,72.1311475409836,Hit Wicket,2,2,Win,No,56,0,Good
100057,2021,2023-11-08,GT,Delhi,Away,1,7,44,71,4,5,61.97183098591549,Stumped,3,0,Loss,No,46,0,Good
100058,2009,2012-07-02,LSG,Jaipur,Away,2,2,37,57,0,1,64.91228070175438,Run Out,4,2,Loss,Yes,6,31,Good
100059,2008,2022-06-05,DC,Chennai,Away,1,6,57,71,3,1,80.28169014084507,Run Out,0,3,Loss,No,18,39,Half Century
100060,2021,2019-02-12,GT,Kolkata,Away,1,5,36,71,2,3,50.70422535211267,Hit Wicket,4,1,Win,No,26,10,Good
100061,2021,2015-12-02,LSG,Delhi,Home,2,4,28,37,7,1,75.67567567567568,LBW,4,3,Loss,No,34,0,Low
100062,2018,2012-07-11,DC,Dharamsala,Away,2,6,0,30,0,0,0.0,Run Out,3,2,Win,No,0,0,Low
100063,2009,2011-02-16,LSG,Dharamsala,Away,1,4,51,13,8,7,392.30769230769226,Caught,1,0,Loss,No,74,0,Half Century
100064,2018,2022-04-10,SRH,Mumbai,Away,1,7,18,69,3,2,26.08695652173913,Not Out,3,5,Win,Yes,24,0,Low
100065,2017,2013-05-25,CSK,Hyderabad,Home,2,3,3,13,0,0,23.076923076923077,LBW,0,2,Loss,Yes,0,3,Low
100066,2015,2020-03-17,SRH,Dharamsala,Home,1,5,46,22,2,1,209.0909090909091,Run Out,3,4,Win,Yes,14,32,Good
100067,2022,2022-08-08,PBKS,Ahmedabad,Away,2,1,12,2,2,2,600.0,LBW,1,4,Loss,No,20,0,Low
100068,2016,2018-07-17,PBKS,Kolkata,Away,2,3,20,62,0,1,32.25806451612903,Stumped,4,3,Loss,Yes,6,14,Low
100069,2020,2014-06-14,MI,Dharamsala,Home,1,2,33,78,4,1,42.30769230769231,Not Out,2,4,Loss,Yes,22,11,Good
100070,2011,2022-05-15,MI,Delhi,Away,2,3,0,5,0,0,0.0,Bowled,2,0,Win,Yes,0,0,Low
100071,2025,2016-07-02,LSG,Lucknow,Away,1,7,33,22,7,2,150.0,Run Out,2,5,Win,Yes,40,0,Good
100072,2015,2023-06-19,SRH,Lucknow,Away,2,1,72,12,12,0,600.0,LBW,4,2,Loss,No,48,24,Half Century
100073,2019,2010-09-22,DC,Ahmedabad,Home,2,6,56,80,14,9,70.0,Stumped,0,1,Loss,No,110,0,Half Century
100074,2011,2011-06-07,MI,Bengaluru,Away,2,2,16,64,0,0,25.0,Run Out,4,1,Loss,No,0,16,Low
100075,2012,2017-08-07,CSK,Ahmedabad,Away,2,1,55,36,7,7,152.77777777777777,Not Out,2,1,Loss,Yes,70,0,Half Century
100076,2020,2014-06-26,DC,Mumbai,Away,1,1,39,12,3,5,325.0,Hit Wicket,4,5,Loss,Yes,42,0,Good
100077,2012,2025-12-11,DC,Mumbai,Home,1,3,44,76,5,2,57.89473684210527,Bowled,0,4,Loss,Yes,32,12,Good
100078,2011,2023-02-14,MI,Chennai,Home,2,2,78,46,7,9,169.56521739130434,Caught,0,2,Win,No,82,0,Half Century
100079,2024,2010-11-05,CSK,Ahmedabad,Away,2,6,24,47,4,1,51.06382978723404,Run Out,0,4,Win,Yes,22,2,Low
100080,2023,2017-04-21,SRH,Mumbai,Away,1,2,34,57,1,0,59.64912280701754,Bowled,4,2,Loss,No,4,30,Good
100081,2020,2021-09-10,LSG,Delhi,Away,1,6,27,65,5,0,41.53846153846154,Run Out,4,5,Loss,Yes,20,7,Low
100082,2021,2015-11-24,GT,Hyderabad,Away,1,3,28,13,5,3,215.3846153846154,Stumped,2,2,Loss,Yes,38,0,Low
100083,2010,2010-03-18,CSK,Hyderabad,Home,2,4,45,48,9,5,93.75,Hit Wicket,0,5,Loss,Yes,66,0,Good
100084,2017,2021-10-05,PBKS,Jaipur,Home,1,2,9,74,2,0,12.162162162162163,LBW,3,1,Loss,Yes,8,1,Low
100085,2016,2021-03-04,DC,Hyderabad,Home,2,6,72,78,8,0,92.3076923076923,LBW,2,1,Loss,Yes,32,40,Half Century
100086,2013,2011-07-05,SRH,Mumbai,Home,2,4,17,4,0,2,425.0,Run Out,1,4,Loss,Yes,12,5,Low
100087,2019,2015-04-14,RR,Dharamsala,Home,2,6,42,7,0,1,600.0,Run Out,3,2,Loss,No,6,36,Good
100088,2016,2013-02-16,LSG,Mumbai,Away,2,4,65,56,3,4,116.07142857142858,Caught,4,5,Win,No,36,29,Half Century
100089,2009,2008-06-19,DC,Delhi,Home,1,2,36,18,1,0,200.0,Run Out,3,3,Win,No,4,32,Good
100090,2010,2017-03-14,MI,Hyderabad,Home,2,5,16,59,0,1,27.11864406779661,Stumped,3,4,Loss,No,6,10,Low
100091,2011,2017-05-19,MI,Jaipur,Home,2,2,2,80,0,0,2.5,Not Out,0,3,Loss,Yes,0,2,Low
100092,2020,2015-04-03,RR,Kolkata,Away,2,2,43,22,1,1,195.45454545454547,LBW,4,4,Win,Yes,10,33,Good
100093,2011,2011-07-31,PBKS,Kolkata,Home,2,4,56,78,1,2,71.7948717948718,Stumped,3,5,Loss,No,16,40,Half Century
100094,2012,2018-02-27,CSK,Ahmedabad,Away,1,5,65,39,8,9,166.66666666666669,LBW,2,0,Loss,No,86,0,Half Century
100095,2009,2009-07-28,RR,Delhi,Home,1,4,15,12,3,2,125.0,LBW,0,4,Loss,Yes,24,0,Low
100096,2009,2018-05-26,CSK,Jaipur,Home,1,4,17,65,1,0,26.153846153846157,LBW,3,1,Loss,No,4,13,Low
100097,2020,2017-06-18,RR,Dharamsala,Home,1,6,43,43,10,6,100.0,LBW,2,2,Win,Yes,76,0,Good
100098,2019,2015-04-03,SRH,Chennai,Home,1,7,38,40,8,3,95.0,Stumped,2,5,Win,No,50,0,Good
100099,2024,2016-05-30,MI,Jaipur,Away,1,2,54,24,12,7,225.0,Caught,1,1,Loss,Yes,90,0,Half Century
100100,2024,2025-08-02,LSG,Lucknow,Home,1,2,28,44,2,4,63.63636363636363,Hit Wicket,1,3,Win,No,32,0,Low
100101,2009,2017-07-05,RR,Kolkata,Away,2,3,27,79,3,1,34.177215189873415,Hit Wicket,1,4,Win,No,18,9,Low
100102,2022,2018-08-26,PBKS,Hyderabad,Away,2,1,70,21,6,9,333.33333333333337,Hit Wicket,2,1,Loss,Yes,78,0,Half Century
100103,2024,2011-02-03,PBKS,Mumbai,Home,1,3,9,35,1,0,25.71428571428571,Run Out,3,1,Win,No,4,5,Low
100104,2024,2016-09-06,DC,Hyderabad,Home,2,7,43,48,3,0,89.58333333333334,Hit Wicket,0,2,Win,Yes,12,31,Good
100105,2009,2014-09-24,GT,Chennai,Away,2,5,0,58,0,0,0.0,Caught,1,1,Loss,Yes,0,0,Low
100106,2017,2011-01-11,MI,Kolkata,Away,1,5,3,80,0,0,3.75,Stumped,3,0,Win,Yes,0,3,Low
100107,2017,2017-12-03,MI,Dharamsala,Away,1,1,22,31,5,0,70.96774193548387,Run Out,2,4,Loss,Yes,20,2,Low
100108,2020,2016-09-01,PBKS,Bengaluru,Away,2,7,28,9,5,1,311.11111111111114,Bowled,0,5,Win,No,26,2,Low
100109,2025,2015-11-21,KKR,Ahmedabad,Away,1,1,37,24,7,0,154.16666666666669,Caught,1,2,Loss,No,28,9,Good
100110,2024,2017-03-24,LSG,Ahmedabad,Away,1,7,27,5,6,1,540.0,Hit Wicket,2,2,Loss,No,30,0,Low
100111,2011,2016-07-19,SRH,Hyderabad,Away,1,3,27,50,5,3,54.0,Stumped,4,2,Loss,Yes,38,0,Low
100112,2021,2021-10-22,KKR,Lucknow,Away,2,3,46,42,1,1,109.52380952380953,Not Out,2,2,Loss,Yes,10,36,Good
100113,2022,2016-03-06,GT,Bengaluru,Away,1,3,52,79,12,0,65.82278481012658,Caught,3,0,Win,No,48,4,Half Century
100114,2009,2011-02-16,CSK,Kolkata,Away,2,2,34,47,6,4,72.3404255319149,LBW,4,0,Loss,No,48,0,Good
100115,2010,2021-03-02,KKR,Lucknow,Away,2,4,28,51,1,0,54.90196078431373,Not Out,1,5,Win,No,4,24,Low
100116,2016,2024-02-01,GT,Kolkata,Away,1,4,51,63,3,1,80.95238095238095,Stumped,0,1,Loss,Yes,18,33,Half Century
100117,2018,2023-04-10,RR,Mumbai,Away,1,2,55,39,11,2,141.02564102564102,Bowled,4,2,Win,Yes,56,0,Half Century
100118,2023,2008-11-19,RR,Lucknow,Away,2,4,7,60,0,0,11.666666666666666,Not Out,2,0,Loss,No,0,7,Low
100119,2010,2011-02-08,RR,Mumbai,Away,1,2,26,60,6,4,43.333333333333336,Run Out,4,5,Win,Yes,48,0,Low
100120,2024,2011-09-23,PBKS,Chennai,Home,1,7,16,42,1,1,38.095238095238095,LBW,2,4,Win,No,10,6,Low
100121,2012,2022-04-25,PBKS,Dharamsala,Home,2,6,16,65,4,0,24.615384615384617,Hit Wicket,4,1,Win,Yes,16,0,Low
100122,2010,2009-04-25,PBKS,Kolkata,Away,2,3,12,80,0,1,15.0,Run Out,4,5,Win,No,6,6,Low
100123,2017,2018-06-20,CSK,Bengaluru,Home,2,7,13,57,2,2,22.807017543859647,Stumped,2,1,Loss,No,20,0,Low
100124,2012,2025-05-10,RR,Lucknow,Home,1,4,47,41,3,7,114.6341463414634,Bowled,2,0,Win,Yes,54,0,Good
100125,2017,2016-11-28,SRH,Kolkata,Home,2,4,67,42,6,2,159.52380952380955,LBW,4,3,Loss,Yes,36,31,Half Century
100126,2010,2017-02-11,LSG,Ahmedabad,Home,2,3,20,28,4,2,71.42857142857143,Not Out,0,0,Loss,No,28,0,Low
100127,2025,2008-06-23,CSK,Hyderabad,Home,1,5,29,34,5,0,85.29411764705883,LBW,0,3,Loss,Yes,20,9,Low
100128,2020,2019-08-09,GT,Lucknow,Away,2,3,0,80,0,0,0.0,Not Out,3,0,Loss,Yes,0,0,Low
100129,2014,2021-10-22,LSG,Hyderabad,Home,1,5,36,6,7,4,600.0,LBW,1,3,Loss,Yes,52,0,Good
100130,2020,2022-02-14,PBKS,Dharamsala,Away,2,3,43,65,8,7,66.15384615384615,Hit Wicket,4,5,Win,No,74,0,Good
100131,2018,2023-05-29,CSK,Hyderabad,Away,2,5,20,4,5,1,500.0,Bowled,0,5,Loss,Yes,26,0,Low
100132,2015,2009-01-01,CSK,Kolkata,Home,1,6,25,57,2,3,43.859649122807014,Run Out,3,1,Loss,Yes,26,0,Low
100133,2012,2019-12-06,DC,Lucknow,Away,2,5,16,62,1,1,25.806451612903224,Stumped,2,4,Loss,No,10,6,Low
100134,2014,2013-10-28,PBKS,Lucknow,Away,2,6,31,29,4,2,106.89655172413792,LBW,1,5,Loss,No,28,3,Good
100135,2025,2024-06-24,PBKS,Delhi,Home,2,1,25,74,3,2,33.78378378378378,Stumped,2,1,Win,No,24,1,Low
100136,2022,2023-01-03,PBKS,Ahmedabad,Home,1,2,15,26,2,2,57.692307692307686,Not Out,2,5,Win,Yes,20,0,Low
100137,2009,2023-04-27,LSG,Kolkata,Home,1,1,42,7,7,1,600.0,Run Out,1,5,Loss,No,34,8,Good
100138,2014,2025-04-01,PBKS,Jaipur,Away,2,2,46,8,1,3,575.0,Hit Wicket,0,4,Win,Yes,22,24,Good
100139,2020,2025-12-19,GT,Chennai,Away,2,6,30,5,1,2,600.0,Bowled,3,2,Loss,No,16,14,Good
100140,2014,2010-10-27,RR,Chennai,Away,2,7,36,33,2,0,109.09090909090908,Not Out,2,5,Win,Yes,8,28,Good
100141,2020,2017-11-20,LSG,Jaipur,Home,2,1,28,52,2,3,53.84615384615385,Run Out,1,2,Win,No,26,2,Low
100142,2016,2015-09-09,PBKS,Dharamsala,Home,1,1,22,34,5,2,64.70588235294117,Run Out,1,5,Loss,Yes,32,0,Low
100143,2020,2023-09-07,LSG,Delhi,Home,2,6,24,38,1,3,63.1578947368421,Run Out,3,1,Loss,Yes,22,2,Low
100144,2015,2023-07-22,CSK,Lucknow,Away,1,1,46,68,11,5,67.64705882352942,Hit Wicket,4,0,Win,Yes,74,0,Good
100145,2013,2015-08-27,LSG,Ahmedabad,Home,2,5,29,27,7,0,107.40740740740742,Run Out,1,3,Win,No,28,1,Low
100146,2017,2024-07-08,MI,Hyderabad,Away,1,3,6,1,0,0,600.0,Not Out,3,0,Win,Yes,0,6,Low
100147,2023,2009-01-02,PBKS,Hyderabad,Home,2,4,41,18,10,3,227.77777777777777,Run Out,3,2,Win,Yes,58,0,Good
100148,2019,2010-12-15,KKR,Lucknow,Away,2,3,0,68,0,0,0.0,Stumped,0,0,Loss,No,0,0,Low
100149,2015,2013-11-05,GT,Jaipur,Home,1,5,51,36,12,1,141.66666666666669,Bowled,3,0,Win,Yes,54,0,Half Century
100150,2011,2021-08-13,MI,Ahmedabad,Home,1,5,76,32,1,6,237.5,Hit Wicket,1,3,Win,Yes,40,36,Half Century
100151,2024,2014-10-13,DC,Dharamsala,Away,1,6,8,74,1,0,10.81081081081081,Run Out,1,2,Loss,No,4,4,Low
100152,2009,2020-10-12,KKR,Hyderabad,Away,2,7,16,7,2,2,228.57142857142856,Stumped,3,5,Loss,No,20,0,Low
100153,2012,2015-01-08,SRH,Chennai,Away,2,5,45,31,11,2,145.16129032258064,Run Out,0,3,Win,No,56,0,Good
100154,2015,2014-01-05,DC,Jaipur,Home,2,1,19,58,2,0,32.758620689655174,Run Out,1,4,Win,Yes,8,11,Low
100155,2014,2025-05-18,LSG,Kolkata,Away,2,6,48,27,0,3,177.77777777777777,Bowled,0,1,Win,No,18,30,Good
100156,2015,2020-09-04,RR,Delhi,Away,2,3,20,60,4,2,33.33333333333333,Run Out,2,2,Win,No,28,0,Low
100157,2018,2012-11-07,RR,Jaipur,Away,2,5,20,6,1,0,333.33333333333337,LBW,4,2,Win,Yes,4,16,Low
100158,2018,2013-06-15,SRH,Dharamsala,Home,1,4,29,64,5,2,45.3125,Stumped,3,3,Loss,Yes,32,0,Low
100159,2012,2024-06-13,LSG,Ahmedabad,Home,1,7,90,70,1,1,128.57142857142858,Run Out,0,5,Win,Yes,10,80,Half Century
100160,2010,2024-02-27,KKR,Bengaluru,Home,2,6,31,65,7,2,47.69230769230769,Stumped,4,0,Loss,Yes,40,0,Good
100161,2008,2020-03-25,LSG,Hyderabad,Home,1,7,17,3,2,0,566.6666666666667,Caught,3,4,Win,Yes,8,9,Low
100162,2015,2012-08-07,LSG,Delhi,Away,1,4,31,35,6,0,88.57142857142857,Stumped,3,2,Win,No,24,7,Good
100163,2010,2022-12-16,MI,Mumbai,Away,2,4,17,49,0,2,34.69387755102041,Stumped,0,1,Loss,Yes,12,5,Low
100164,2024,2009-04-01,DC,Kolkata,Away,1,5,52,35,0,1,148.57142857142858,Bowled,2,5,Loss,Yes,6,46,Half Century
100165,2014,2021-06-17,KKR,Hyderabad,Home,1,7,43,39,6,5,110.25641025641026,Not Out,1,3,Loss,Yes,54,0,Good
100166,2011,2018-02-05,DC,Mumbai,Away,2,6,48,78,12,6,61.53846153846154,Hit Wicket,0,2,Loss,No,84,0,Good
100167,2015,2016-04-10,LSG,Hyderabad,Away,2,1,21,24,0,2,87.5,Bowled,0,1,Loss,Yes,12,9,Low
100168,2020,2015-05-26,RR,Mumbai,Home,1,1,5,1,1,0,500.0,Caught,2,2,Win,No,4,1,Low
100169,2022,2020-10-14,LSG,Lucknow,Away,2,7,55,14,1,9,392.85714285714283,Caught,2,4,Loss,No,58,0,Half Century
100170,2020,2025-10-08,CSK,Lucknow,Home,1,2,38,74,8,1,51.35135135135135,LBW,3,5,Loss,No,38,0,Good
100171,2023,2011-07-27,CSK,Chennai,Away,2,6,12,36,0,1,33.33333333333333,Not Out,1,2,Win,No,6,6,Low
100172,2011,2011-05-02,PBKS,Bengaluru,Away,2,3,47,43,9,6,109.30232558139534,Hit Wicket,3,2,Win,No,72,0,Good
100173,2018,2021-10-28,DC,Ahmedabad,Away,1,7,91,23,9,10,395.65217391304344,LBW,4,3,Loss,No,96,0,Half Century
100174,2020,2016-06-25,CSK,Dharamsala,Home,2,1,22,76,4,1,28.947368421052634,Stumped,4,5,Win,No,22,0,Low
100175,2017,2023-11-01,CSK,Hyderabad,Away,2,7,24,18,5,1,133.33333333333331,Caught,3,5,Loss,No,26,0,Low
100176,2020,2020-04-12,LSG,Hyderabad,Home,2,6,22,47,5,0,46.808510638297875,Bowled,1,0,Win,No,20,2,Low
100177,2018,2017-12-13,CSK,Bengaluru,Home,2,2,41,34,8,4,120.58823529411764,LBW,4,5,Loss,No,56,0,Good
100178,2024,2011-09-04,RR,Bengaluru,Away,1,7,70,14,9,6,500.0,LBW,0,0,Loss,No,72,0,Half Century
100179,2022,2025-11-19,DC,Lucknow,Away,1,3,11,45,2,1,24.444444444444443,Hit Wicket,0,2,Win,Yes,14,0,Low
100180,2018,2022-10-30,CSK,Chennai,Home,2,5,38,67,2,4,56.71641791044776,Run Out,2,1,Win,No,32,6,Good
100181,2013,2012-06-22,SRH,Hyderabad,Home,2,2,52,79,6,6,65.82278481012658,Hit Wicket,1,0,Win,Yes,60,0,Half Century
100182,2025,2012-06-27,RR,Jaipur,Home,2,5,18,59,0,2,30.508474576271187,Not Out,3,5,Loss,No,12,6,Low
100183,2011,2016-02-06,RR,Ahmedabad,Home,1,3,60,39,4,5,153.84615384615387,Bowled,1,0,Loss,Yes,46,14,Half Century
100184,2024,2017-01-03,SRH,Dharamsala,Home,1,6,20,74,3,3,27.027027027027028,Not Out,3,1,Win,No,30,0,Low
100185,2017,2011-06-11,KKR,Jaipur,Away,2,7,54,80,0,7,67.5,Not Out,1,1,Loss,No,42,12,Half Century
100186,2023,2017-08-13,GT,Ahmedabad,Home,2,1,41,11,9,0,372.7272727272727,Bowled,2,1,Loss,Yes,36,5,Good
100187,2022,2020-12-24,GT,Lucknow,Home,1,5,63,74,11,8,85.13513513513513,Run Out,3,0,Win,Yes,92,0,Half Century
100188,2017,2009-01-07,GT,Delhi,Away,2,7,59,12,7,1,491.6666666666667,Hit Wicket,1,1,Loss,Yes,34,25,Half Century
100189,2012,2025-11-24,DC,Kolkata,Home,2,3,24,73,4,1,32.87671232876712,Hit Wicket,2,2,Win,Yes,22,2,Low
100190,2021,2009-08-16,PBKS,Chennai,Home,1,4,49,32,2,5,153.125,Not Out,3,1,Loss,No,38,11,Good
100191,2020,2018-06-07,CSK,Mumbai,Away,1,5,34,66,5,3,51.515151515151516,Hit Wicket,2,3,Win,No,38,0,Good
100192,2019,2009-09-18,LSG,Hyderabad,Home,2,7,1,55,0,0,1.8181818181818181,LBW,2,2,Win,No,0,1,Low
100193,2018,2023-08-09,MI,Bengaluru,Home,1,4,85,59,5,7,144.0677966101695,Stumped,0,3,Win,No,62,23,Half Century
100194,2013,2014-06-10,CSK,Jaipur,Away,2,1,40,11,5,5,363.6363636363636,Stumped,1,5,Loss,Yes,50,0,Good
100195,2021,2022-12-30,CSK,Mumbai,Home,2,6,23,28,1,3,82.14285714285714,Hit Wicket,0,0,Win,No,22,1,Low
100196,2012,2019-01-04,CSK,Kolkata,Away,1,3,36,12,1,0,300.0,Run Out,2,2,Win,Yes,4,32,Good
100197,2010,2020-03-11,MI,Dharamsala,Home,2,6,25,57,5,1,43.859649122807014,Hit Wicket,4,3,Win,Yes,26,0,Low
100198,2011,2011-06-08,CSK,Dharamsala,Away,1,3,47,45,6,5,104.44444444444446,Bowled,1,1,Loss,Yes,54,0,Good
100199,2017,2012-11-26,LSG,Dharamsala,Home,2,2,32,51,3,3,62.745098039215684,Stumped,0,3,Win,Yes,30,2,Good
100200,2019,2015-05-24,KKR,Hyderabad,Away,1,1,42,47,8,2,89.36170212765957,Caught,0,3,Loss,Yes,44,0,Good
100201,2009,2009-08-26,SRH,Lucknow,Away,1,5,37,65,6,0,56.92307692307692,LBW,4,5,Win,No,24,13,Good
