Match_ID,Season,Match_Date,Opponent,Venue,Home_Away,Innings,Batting_Position,Runs,Balls,Fours,Sixes,Strike_Rate,Dismissal,Catches,Wickets,Result,Player_of_the_Match
100028,2018,2018-01-30,LSG,Mumbai,Away,1,1,39,74,3,2,52.7,LBW,3,0,Loss,Yes
100029,2018,2022-04-09,RR,Mumbai,Away,2,2,26,65,3,2,40.0,Stumped,1,4,Loss,Yes
100030,2017,2017-05-27,LSG,Bengaluru,Away,2,6,55,37,3,6,148.65,Run Out,4,4,Loss,No
100031,2014,2019-10-05,GT,Chennai,Home,1,2,3,37,0,0,8.11,Bowled,2,1,Win,Yes
100032,2015,2018-12-14,CSK,Ahmedabad,Away,2,4,31,74,3,5,41.89,Bowled,3,5,Win,Yes
100033,2011,2025-10-02,SRH,Kolkata,Home,2,6,7,67,0,1,10.45,Hit Wicket,3,1,Loss,No
100034,2025,2018-04-18,KKR,Ahmedabad,Away,2,7,41,34,3,6,120.59,Stumped,2,5,Win,No
100035,2022,2010-01-12,PBKS,Kolkata,Away,1,6,23,43,1,1,53.49,Stumped,3,1,Win,Yes
100036,2021,2017-06-09,RR,Lucknow,Away,1,7,59,54,0,3,109.26,Hit Wicket,3,3,Loss,No
100037,2008,2016-03-08,PBKS,Hyderabad,Away,2,4,34,69,3,3,49.28,Caught,2,1,Loss,No
100038,2020,2024-07-15,KKR,Ahmedabad,Home,1,6,7,80,0,1,8.75,Caught,4,4,Loss,Yes
100039,2022,2012-05-15,MI,Delhi,Away,1,7,39,42,6,2,92.86,Run Out,2,3,Win,Yes
100040,2019,2013-04-28,CSK,Bengaluru,Home,1,2,54,32,3,0,168.75,Run Out,1,4,Win,Yes
100041,2022,2023-12-26,PBKS,Jaipur,Home,1,5,6,78,0,0,7.69,LBW,0,2,Loss,No
100042,2014,2009-12-31,DC,Mumbai,Away,2,5,12,77,0,2,15.58,Stumped,2,0,Loss,Yes
100043,2024,2022-10-26,RR,Bengaluru,Away,2,6,79,63,14,2,125.4,Not Out,1,3,Loss,No
100044,2021,2024-09-09,PBKS,Jaipur,Home,2,5,69,12,8,7,575.0,LBW,3,1,Win,No
100045,2018,2012-05-16,GT,Kolkata,Away,1,5,10,34,2,1,29.41,Caught,0,4,Win,No
100046,2023,2020-09-30,DC,Ahmedabad,Away,1,4,73,58,0,1,125.86,LBW,1,2,Loss,No
100047,2025,2020-03-15,RR,Hyderabad,Away,1,3,29,46,4,1,63.04,Stumped,1,0,Win,Yes
100048,2014,2024-11-10,GT,Delhi,Away,2,2,18,13,1,2,138.46,Caught,2,1,Win,No
100049,2009,2009-07-08,LSG,Delhi,Home,1,3,37,63,4,3,58.73,Caught,3,3,Loss,No
100050,2011,2009-10-05,SRH,Ahmedabad,Home,1,3,37,74,0,1,50.0,Bowled,4,1,Win,No
100051,2015,2025-09-10,LSG,Hyderabad,Away,1,1,26,57,3,2,45.61,Hit Wicket,4,4,Win,Yes
100052,2016,2023-02-09,CSK,Chennai,Home,2,4,63,23,2,2,273.91,LBW,3,0,Win,Yes
100053,2017,2024-02-25,PBKS,Ahmedabad,Home,1,2,69,30,6,6,230.0,LBW,4,0,Win,Yes
100054,2009,2012-01-07,PBKS,Dharamsala,Away,2,6,17,57,0,1,29.82,LBW,2,5,Loss,No
100055,2010,2021-09-16,MI,Hyderabad,Away,1,1,34,78,0,5,43.59,Run Out,4,2,Loss,No
100056,2013,2021-06-04,SRH,Ahmedabad,Home,1,6,44,61,5,6,72.13,Hit Wicket,2,2,Win,No
100057,2021,2023-11-08,GT,Delhi,Away,1,7,44,71,4,5,61.97,Stumped,3,0,Loss,No
100058,2009,2012-07-02,LSG,Jaipur,Away,2,2,37,57,0,1,64.91,Run Out,4,2,Loss,Yes
100059,2008,2022-06-05,DC,Chennai,Away,1,6,57,71,3,1,80.28,Run Out,0,3,Loss,No
100060,2021,2019-02-12,GT,Kolkata,Away,1,5,36,71,2,3,50.7,Hit Wicket,4,1,Win,No
100061,2021,2015-12-02,LSG,Delhi,Home,2,4,28,37,7,1,75.68,LBW,4,3,Loss,No
100062,2018,2012-07-11,DC,Dharamsala,Away,2,6,0,30,0,0,0.0,Run Out,3,2,Win,No
100063,2009,2011-02-16,LSG,Dharamsala,Away,1,4,51,13,8,7,392.31,Caught,1,0,Loss,No
100064,2018,2022-04-10,SRH,Mumbai,Away,1,7,18,69,3,2,26.09,Not Out,3,5,Win,Yes
100065,2017,2013-05-25,CSK,Hyderabad,Home,2,3,3,13,0,0,23.08,LBW,0,2,Loss,Yes
100066,2015,2020-03-17,SRH,Dharamsala,Home,1,5,46,22,2,1,209.09,Run Out,3,4,Win,Yes
100067,2022,2022-08-08,PBKS,Ahmedabad,Away,2,1,12,2,2,2,600.0,LBW,1,4,Loss,No
100068,2016,2018-07-17,PBKS,Kolkata,Away,2,3,20,62,0,1,32.26,Stumped,4,3,Loss,Yes
100069,2020,2014-06-14,MI,Dharamsala,Home,1,2,33,78,4,1,42.31,Not Out,2,4,Loss,Yes
100070,2011,2022-05-15,MI,Delhi,Away,2,3,0,5,0,0,0.0,Bowled,2,0,Win,Yes
100071,2025,2016-07-02,LSG,Lucknow,Away,1,7,33,22,7,2,150.0,Run Out,2,5,Win,Yes
100072,2015,2023-06-19,SRH,Lucknow,Away,2,1,72,12,12,0,600.0,LBW,4,2,Loss,No
100073,2019,2010-09-22,DC,Ahmedabad,Home,2,6,56,80,14,9,70.0,Stumped,0,1,Loss,No
100074,2011,2011-06-07,MI,Bengaluru,Away,2,2,16,64,0,0,25.0,Run Out,4,1,Loss,No
100075,2012,2017-08-07,CSK,Ahmedabad,Away,2,1,55,36,7,7,152.78,Not Out,2,1,Loss,Yes
100076,2020,2014-06-26,DC,Mumbai,Away,1,1,39,12,3,5,325.0,Hit Wicket,4,5,Loss,Yes
100077,2012,2025-12-11,DC,Mumbai,Home,1,3,44,76,5,2,57.89,Bowled,0,4,Loss,Yes
100078,2011,2023-02-14,MI,Chennai,Home,2,2,78,46,7,9,169.57,Caught,0,2,Win,No
100079,2024,2010-11-05,CSK,Ahmedabad,Away,2,6,24,47,4,1,51.06,Run Out,0,4,Win,Yes
100080,2023,2017-04-21,SRH,Mumbai,Away,1,2,34,57,1,0,59.65,Bowled,4,2,Loss,No
100081,2020,2021-09-10,LSG,Delhi,Away,1,6,27,65,5,0,41.54,Run Out,4,5,Loss,Yes
100082,2021,2015-11-24,GT,Hyderabad,Away,1,3,28,13,5,3,215.38,Stumped,2,2,Loss,Yes
100083,2010,2010-03-18,CSK,Hyderabad,Home,2,4,45,48,9,5,93.75,Hit Wicket,0,5,Loss,Yes
100084,2017,2021-10-05,PBKS,Jaipur,Home,1,2,9,74,2,0,12.16,LBW,3,1,Loss,Yes
100085,2016,2021-03-04,DC,Hyderabad,Home,2,6,72,78,8,0,92.31,LBW,2,1,Loss,Yes
100086,2013,2011-07-05,SRH,Mumbai,Home,2,4,17,4,0,2,425.0,Run Out,1,4,Loss,Yes
100087,2019,2015-04-14,RR,Dharamsala,Home,2,6,42,7,0,1,600.0,Run Out,3,2,Loss,No
100088,2016,2013-02-16,LSG,Mumbai,Away,2,4,65,56,3,4,116.07,Caught,4,5,Win,No
100089,2009,2008-06-19,DC,Delhi,Home,1,2,36,18,1,0,200.0,Run Out,3,3,Win,No
100090,2010,2017-03-14,MI,Hyderabad,Home,2,5,16,59,0,1,27.12,Stumped,3,4,Loss,No
100091,2011,2017-05-19,MI,Jaipur,Home,2,2,2,80,0,0,2.5,Not Out,0,3,Loss,Yes
100092,2020,2015-04-03,RR,Kolkata,Away,2,2,43,22,1,1,195.45,LBW,4,4,Win,Yes
100093,2011,2011-07-31,PBKS,Kolkata,Home,2,4,56,78,1,2,71.79,Stumped,3,5,Loss,No
100094,2012,2018-02-27,CSK,Ahmedabad,Away,1,5,65,39,8,9,166.67,LBW,2,0,Loss,No
100095,2009,2009-07-28,RR,Delhi,Home,1,4,15,12,3,2,125.0,LBW,0,4,Loss,Yes
100096,2009,2018-05-26,CSK,Jaipur,Home,1,4,17,65,1,0,26.15,LBW,3,1,Loss,No
100097,2020,2017-06-18,RR,Dharamsala,Home,1,6,43,43,10,6,100.0,LBW,2,2,Win,Yes
100098,2019,2015-04-03,SRH,Chennai,Home,1,7,38,40,8,3,95.0,Stumped,2,5,Win,No
100099,2024,2016-05-30,MI,Jaipur,Away,1,2,54,24,12,7,225.0,Caught,1,1,Loss,Yes
100100,2024,2025-08-02,LSG,Lucknow,Home,1,2,28,44,2,4,63.64,Hit Wicket,1,3,Win,No
100101,2009,2017-07-05,RR,Kolkata,Away,2,3,27,79,3,1,34.18,Hit Wicket,1,4,Win,No
100102,2022,2018-08-26,PBKS,Hyderabad,Away,2,1,70,21,6,9,333.33,Hit Wicket,2,1,Loss,Yes
100103,2024,2011-02-03,PBKS,Mumbai,Home,1,3,9,35,1,0,25.71,Run Out,3,1,Win,No
100104,2024,2016-09-06,DC,Hyderabad,Home,2,7,43,48,3,0,89.58,Hit Wicket,0,2,Win,Yes
100105,2009,2014-09-24,GT,Chennai,Away,2,5,0,58,0,0,0.0,Caught,1,1,Loss,Yes
100106,2017,2011-01-11,MI,Kolkata,Away,1,5,3,80,0,0,3.75,Stumped,3,0,Win,Yes
100107,2017,2017-12-03,MI,Dharamsala,Away,1,1,22,31,5,0,70.97,Run Out,2,4,Loss,Yes
100108,2020,2016-09-01,PBKS,Bengaluru,Away,2,7,28,9,5,1,311.11,Bowled,0,5,Win,No
100109,2025,2015-11-21,KKR,Ahmedabad,Away,1,1,37,24,7,0,154.17,Caught,1,2,Loss,No
100110,2024,2017-03-24,LSG,Ahmedabad,Away,1,7,27,5,6,1,540.0,Hit Wicket,2,2,Loss,No
100111,2011,2016-07-19,SRH,Hyderabad,Away,1,3,27,50,5,3,54.0,Stumped,4,2,Loss,Yes
100112,2021,2021-10-22,KKR,Lucknow,Away,2,3,46,42,1,1,109.52,Not Out,2,2,Loss,Yes
100113,2022,2016-03-06,GT,Bengaluru,Away,1,3,52,79,12,0,65.82,Caught,3,0,Win,No
100114,2009,2011-02-16,CSK,Kolkata,Away,2,2,34,47,6,4,72.34,LBW,4,0,Loss,No
100115,2010,2021-03-02,KKR,Lucknow,Away,2,4,28,51,1,0,54.9,Not Out,1,5,Win,No
100116,2016,2024-02-01,GT,Kolkata,Away,1,4,51,63,3,1,80.95,Stumped,0,1,Loss,Yes
100117,2018,2023-04-10,RR,Mumbai,Away,1,2,55,39,11,2,141.03,Bowled,4,2,Win,Yes
100118,2023,2008-11-19,RR,Lucknow,Away,2,4,7,60,0,0,11.67,Not Out,2,0,Loss,No
100119,2010,2011-02-08,RR,Mumbai,Away,1,2,26,60,6,4,43.33,Run Out,4,5,Win,Yes
100120,2024,2011-09-23,PBKS,Chennai,Home,1,7,16,42,1,1,38.1,LBW,2,4,Win,No
100121,2012,2022-04-25,PBKS,Dharamsala,Home,2,6,16,65,4,0,24.62,Hit Wicket,4,1,Win,Yes
100122,2010,2009-04-25,PBKS,Kolkata,Away,2,3,12,80,0,1,15.0,Run Out,4,5,Win,No
100123,2017,2018-06-20,CSK,Bengaluru,Home,2,7,13,57,2,2,22.81,Stumped,2,1,Loss,No
100124,2012,2025-05-10,RR,Lucknow,Home,1,4,47,41,3,7,114.63,Bowled,2,0,Win,Yes
100125,2017,2016-11-28,SRH,Kolkata,Home,2,4,67,42,6,2,159.52,LBW,4,3,Loss,Yes
100126,2010,2017-02-11,LSG,Ahmedabad,Home,2,3,20,28,4,2,71.43,Not Out,0,0,Loss,No
100127,2025,2008-06-23,CSK,Hyderabad,Home,1,5,29,34,5,0,85.29,LBW,0,3,Loss,Yes
100128,2020,2019-08-09,GT,Lucknow,Away,2,3,0,80,0,0,0.0,Not Out,3,0,Loss,Yes
100129,2014,2021-10-22,LSG,Hyderabad,Home,1,5,36,6,7,4,600.0,LBW,1,3,Loss,Yes
100130,2020,2022-02-14,PBKS,Dharamsala,Away,2,3,43,65,8,7,66.15,Hit Wicket,4,5,Win,No
100131,2018,2023-05-29,CSK,Hyderabad,Away,2,5,20,4,5,1,500.0,Bowled,0,5,Loss,Yes
100132,2015,2009-01-01,CSK,Kolkata,Home,1,6,25,57,2,3,43.86,Run Out,3,1,Loss,Yes
100133,2012,2019-12-06,DC,Lucknow,Away,2,5,16,62,1,1,25.81,Stumped,2,4,Loss,No
100134,2014,2013-10-28,PBKS,Lucknow,Away,2,6,31,29,4,2,106.9,LBW,1,5,Loss,No
100135,2025,2024-06-24,PBKS,Delhi,Home,2,1,25,74,3,2,33.78,Stumped,2,1,Win,No
100136,2022,2023-01-03,PBKS,Ahmedabad,Home,1,2,15,26,2,2,57.69,Not Out,2,5,Win,Yes
100137,2009,2023-04-27,LSG,Kolkata,Home,1,1,42,7,7,1,600.0,Run Out,1,5,Loss,No
100138,2014,2025-04-01,PBKS,Jaipur,Away,2,2,46,8,1,3,575.0,Hit Wicket,0,4,Win,Yes
100139,2020,2025-12-19,GT,Chennai,Away,2,6,30,5,1,2,600.0,Bowled,3,2,Loss,No
100140,2014,2010-10-27,RR,Chennai,Away,2,7,36,33,2,0,109.09,Not Out,2,5,Win,Yes
100141,2020,2017-11-20,LSG,Jaipur,Home,2,1,28,52,2,3,53.85,Run Out,1,2,Win,No
100142,2016,2015-09-09,PBKS,Dharamsala,Home,1,1,22,34,5,2,64.71,Run Out,1,5,Loss,Yes
100143,2020,2023-09-07,LSG,Delhi,Home,2,6,24,38,1,3,63.16,Run Out,3,1,Loss,Yes
100144,2015,2023-07-22,CSK,Lucknow,Away,1,1,46,68,11,5,67.65,Hit Wicket,4,0,Win,Yes
100145,2013,2015-08-27,LSG,Ahmedabad,Home,2,5,29,27,7,0,107.41,Run Out,1,3,Win,No
100146,2017,2024-07-08,MI,Hyderabad,Away,1,3,6,1,0,0,600.0,Not Out,3,0,Win,Yes
100147,2023,2009-01-02,PBKS,Hyderabad,Home,2,4,41,18,10,3,227.78,Run Out,3,2,Win,Yes
100148,2019,2010-12-15,KKR,Lucknow,Away,2,3,0,68,0,0,0.0,Stumped,0,0,Loss,No
100149,2015,2013-11-05,GT,Jaipur,Home,1,5,51,36,12,1,141.67,Bowled,3,0,Win,Yes
100150,2011,2021-08-13,MI,Ahmedabad,Home,1,5,76,32,1,6,237.5,Hit Wicket,1,3,Win,Yes
100151,2024,2014-10-13,DC,Dharamsala,Away,1,6,8,74,1,0,10.81,Run Out,1,2,Loss,No
100152,2009,2020-10-12,KKR,Hyderabad,Away,2,7,16,7,2,2,228.57,Stumped,3,5,Loss,No
100153,2012,2015-01-08,SRH,Chennai,Away,2,5,45,31,11,2,145.16,Run Out,0,3,Win,No
100154,2015,2014-01-05,DC,Jaipur,Home,2,1,19,58,2,0,32.76,Run Out,1,4,Win,Yes
100155,2014,2025-05-18,LSG,Kolkata,Away,2,6,48,27,0,3,177.78,Bowled,0,1,Win,No
100156,2015,2020-09-04,RR,Delhi,Away,2,3,20,60,4,2,33.33,Run Out,2,2,Win,No
100157,2018,2012-11-07,RR,Jaipur,Away,2,5,20,6,1,0,333.33,LBW,4,2,Win,Yes
100158,2018,2013-06-15,SRH,Dharamsala,Home,1,4,29,64,5,2,45.31,Stumped,3,3,Loss,Yes
100159,2012,2024-06-13,LSG,Ahmedabad,Home,1,7,90,70,1,1,128.57,Run Out,0,5,Win,Yes
100160,2010,2024-02-27,KKR,Bengaluru,Home,2,6,31,65,7,2,47.69,Stumped,4,0,Loss,Yes
100161,2008,2020-03-25,LSG,Hyderabad,Home,1,7,17,3,2,0,566.67,Caught,3,4,Win,Yes
100162,2015,2012-08-07,LSG,Delhi,Away,1,4,31,35,6,0,88.57,Stumped,3,2,Win,No
100163,2010,2022-12-16,MI,Mumbai,Away,2,4,17,49,0,2,34.69,Stumped,0,1,Loss,Yes
100164,2024,2009-04-01,DC,Kolkata,Away,1,5,52,35,0,1,148.57,Bowled,2,5,Loss,Yes
100165,2014,2021-06-17,KKR,Hyderabad,Home,1,7,43,39,6,5,110.26,Not Out,1,3,Loss,Yes
100166,2011,2018-02-05,DC,Mumbai,Away,2,6,48,78,12,6,61.54,Hit Wicket,0,2,Loss,No
100167,2015,2016-04-10,LSG,Hyderabad,Away,2,1,21,24,0,2,87.5,Bowled,0,1,Loss,Yes
100168,2020,2015-05-26,RR,Mumbai,Home,1,1,5,1,1,0,500.0,Caught,2,2,Win,No
100169,2022,2020-10-14,LSG,Lucknow,Away,2,7,55,14,1,9,392.86,Caught,2,4,Loss,No
100170,2020,2025-10-08,CSK,Lucknow,Home,1,2,38,74,8,1,51.35,LBW,3,5,Loss,No
100171,2023,2011-07-27,CSK,Chennai,Away,2,6,12,36,0,1,33.33,Not Out,1,2,Win,No
100172,2011,2011-05-02,PBKS,Bengaluru,Away,2,3,47,43,9,6,109.3,Hit Wicket,3,2,Win,No
100173,2018,2021-10-28,DC,Ahmedabad,Away,1,7,91,23,9,10,395.65,LBW,4,3,Loss,No
100174,2020,2016-06-25,CSK,Dharamsala,Home,2,1,22,76,4,1,28.95,Stumped,4,5,Win,No
100175,2017,2023-11-01,CSK,Hyderabad,Away,2,7,24,18,5,1,133.33,Caught,3,5,Loss,No
100176,2020,2020-04-12,LSG,Hyderabad,Home,2,6,22,47,5,0,46.81,Bowled,1,0,Win,No
100177,2018,2017-12-13,CSK,Bengaluru,Home,2,2,41,34,8,4,120.59,LBW,4,5,Loss,No
100178,2024,2011-09-04,RR,Bengaluru,Away,1,7,70,14,9,6,500.0,LBW,0,0,Loss,No
100179,2022,2025-11-19,DC,Lucknow,Away,1,3,11,45,2,1,24.44,Hit Wicket,0,2,Win,Yes
100180,2018,2022-10-30,CSK,Chennai,Home,2,5,38,67,2,4,56.72,Run Out,2,1,Win,No
100181,2013,2012-06-22,SRH,Hyderabad,Home,2,2,52,79,6,6,65.82,Hit Wicket,1,0,Win,Yes
100182,2025,2012-06-27,RR,Jaipur,Home,2,5,18,59,0,2,30.51,Not Out,3,5,Loss,No
100183,2011,2016-02-06,RR,Ahmedabad,Home,1,3,60,39,4,5,153.85,Bowled,1,0,Loss,Yes
100184,2024,2017-01-03,SRH,Dharamsala,Home,1,6,20,74,3,3,27.03,Not Out,3,1,Win,No
100185,2017,2011-06-11,KKR,Jaipur,Away,2,7,54,80,0,7,67.5,Not Out,1,1,Loss,No
100186,2023,2017-08-13,GT,Ahmedabad,Home,2,1,41,11,9,0,372.73,Bowled,2,1,Loss,Yes
100187,2022,2020-12-24,GT,Lucknow,Home,1,5,63,74,11,8,85.14,Run Out,3,0,Win,Yes
100188,2017,2009-01-07,GT,Delhi,Away,2,7,59,12,7,1,491.67,Hit Wicket,1,1,Loss,Yes
100189,2012,2025-11-24,DC,Kolkata,Home,2,3,24,73,4,1,32.88,Hit Wicket,2,2,Win,Yes
100190,2021,2009-08-16,PBKS,Chennai,Home,1,4,49,32,2,5,153.12,Not Out,3,1,Loss,No
100191,2020,2018-06-07,CSK,Mumbai,Away,1,5,34,66,5,3,51.52,Hit Wicket,2,3,Win,No
100192,2019,2009-09-18,LSG,Hyderabad,Home,2,7,1,55,0,0,1.82,LBW,2,2,Win,No
100193,2018,2023-08-09,MI,Bengaluru,Home,1,4,85,59,5,7,144.07,Stumped,0,3,Win,No
100194,2013,2014-06-10,CSK,Jaipur,Away,2,1,40,11,5,5,363.64,Stumped,1,5,Loss,Yes
100195,2021,2022-12-30,CSK,Mumbai,Home,2,6,23,28,1,3,82.14,Hit Wicket,0,0,Win,No
100196,2012,2019-01-04,CSK,Kolkata,Away,1,3,36,12,1,0,300.0,Run Out,2,2,Win,Yes
100197,2010,2020-03-11,MI,Dharamsala,Home,2,6,25,57,5,1,43.86,Hit Wicket,4,3,Win,Yes
100198,2011,2011-06-08,CSK,Dharamsala,Away,1,3,47,45,6,5,104.44,Bowled,1,1,Loss,Yes
100199,2017,2012-11-26,LSG,Dharamsala,Home,2,2,32,51,3,3,62.75,Stumped,0,3,Win,Yes
100200,2019,2015-05-24,KKR,Hyderabad,Away,1,1,42,47,8,2,89.36,Caught,0,3,Loss,Yes
100201,2009,2009-08-26,SRH,Lucknow,Away,1,5,37,65,6,0,56.92,LBW,4,5,Win,No
100202,2010,2019-10-06,DC,Chennai,Away,1,6,12,51,0,1,23.53,Caught,3,5,Win,Yes
100203,2021,2010-11-24,GT,Dharamsala,Home,1,6,18,40,1,0,45.0,Bowled,1,0,Loss,No
100204,2024,2019-11-24,PBKS,Chennai,Away,2,7,7,17,1,0,41.18,LBW,2,0,Win,No
100205,2010,2019-06-04,GT,Lucknow,Away,1,5,6,8,1,0,75.0,Bowled,0,2,Win,Yes
100206,2008,2013-10-12,MI,Ahmedabad,Away,2,7,35,50,2,1,70.0,Bowled,4,0,Loss,Yes
100207,2021,2024-06-13,RR,Delhi,Home,2,1,16,74,0,0,21.62,Caught,4,1,Loss,No
100208,2017,2015-08-21,CSK,Lucknow,Away,2,7,12,2,2,0,600.0,Stumped,4,2,Win,No
100209,2019,2021-07-26,GT,Kolkata,Home,1,3,57,20,3,8,285.0,Hit Wicket,0,2,Loss,No
100210,2011,2012-11-23,LSG,Kolkata,Away,1,1,35,63,0,1,55.56,Bowled,2,5,Loss,No
100211,2022,2025-01-25,CSK,Dharamsala,Home,1,4,62,65,2,9,95.38,Bowled,0,4,Loss,No
100212,2018,2017-02-09,RR,Jaipur,Away,1,7,65,35,7,1,185.71,Bowled,1,1,Win,Yes
100213,2022,2018-09-30,RR,Hyderabad,Home,1,7,11,69,1,1,15.94,Caught,2,3,Win,No
100214,2009,2013-02-12,RR,Chennai,Home,2,6,64,32,11,6,200.0,LBW,0,4,Win,Yes
100215,2020,2018-06-09,LSG,Lucknow,Home,1,7,0,13,0,0,0.0,Bowled,0,0,Win,No
100216,2019,2023-09-09,CSK,Dharamsala,Away,1,7,44,10,0,1,440.0,Caught,3,1,Loss,Yes
100217,2009,2018-08-20,MI,Chennai,Away,2,2,13,51,3,0,25.49,LBW,1,2,Loss,Yes
100218,2009,2022-01-25,DC,Delhi,Away,2,3,35,53,8,3,66.04,Bowled,0,0,Loss,Yes
100219,2024,2013-11-19,LSG,Bengaluru,Away,1,2,0,46,0,0,0.0,LBW,2,3,Win,Yes
100220,2016,2009-08-10,GT,Lucknow,Away,1,6,39,75,3,1,52.0,LBW,1,0,Win,Yes
100221,2020,2016-04-02,KKR,Chennai,Home,1,5,20,76,2,0,26.32,Not Out,2,5,Win,No
100222,2025,2015-03-24,KKR,Ahmedabad,Home,2,1,67,12,1,3,558.33,Caught,1,4,Loss,Yes
100223,2012,2015-12-09,KKR,Jaipur,Home,2,1,18,3,1,0,600.0,Stumped,2,4,Loss,Yes
100224,2018,2015-01-24,RR,Chennai,Home,2,6,62,56,15,10,110.71,Bowled,1,2,Win,No
100225,2017,2024-10-03,PBKS,Chennai,Home,1,3,6,1,1,0,600.0,Stumped,4,1,Win,No
100226,2012,2015-09-21,CSK,Kolkata,Away,1,4,18,41,1,0,43.9,LBW,2,5,Win,Yes
100227,2010,2016-02-27,PBKS,Mumbai,Home,2,3,8,7,0,1,114.29,Caught,3,3,Loss,Yes
100228,2013,2018-06-01,CSK,Bengaluru,Away,1,3,18,3,2,2,600.0,Run Out,0,0,Win,Yes
100229,2025,2010-05-20,RR,Dharamsala,Away,1,3,5,4,1,0,125.0,Bowled,0,0,Loss,No
100230,2017,2014-12-19,DC,Mumbai,Home,2,1,48,51,9,8,94.12,Caught,1,3,Loss,Yes
100231,2017,2023-02-22,GT,Kolkata,Home,2,7,24,4,0,3,600.0,Run Out,2,0,Loss,No
100232,2010,2022-09-10,LSG,Hyderabad,Home,2,1,65,48,12,5,135.42,Run Out,3,1,Loss,No
100233,2015,2014-04-27,MI,Chennai,Home,2,1,15,11,3,2,136.36,Hit Wicket,4,1,Loss,No
100234,2015,2018-12-23,PBKS,Mumbai,Away,1,2,0,5,0,0,0.0,Hit Wicket,1,3,Win,Yes
100235,2009,2017-10-16,CSK,Hyderabad,Home,2,4,43,19,1,1,226.32,Hit Wicket,4,3,Loss,No
100236,2008,2025-12-08,LSG,Hyderabad,Home,1,5,20,54,1,1,37.04,Caught,4,4,Win,No
100237,2025,2016-01-03,SRH,Delhi,Away,2,5,12,63,1,1,19.05,Caught,1,3,Loss,No
100238,2015,2009-05-26,GT,Delhi,Away,2,7,18,3,2,2,600.0,Hit Wicket,2,2,Win,Yes
100239,2012,2015-01-13,GT,Jaipur,Away,2,7,27,54,3,1,50.0,Hit Wicket,3,3,Win,Yes
